ticker,last_price,ma_200,price_to_ma200_pct,ma_50,daily_return_pct,volatility_20d,volume,avg_volume_20d,52w_high,52w_low,data_points,last_date
MU,238.33,119.22,99.91,176.56,9.31,16.31,31109849,21999682,246.41,61.44,249,2025-11-06
WBD,22.42,12.36,81.38,18.02,-0.8,1.89,47752431,34047501,23.02,7.52,249,2025-11-06
LRCX,162.19,96.43,68.19,132.53,4.11,9.37,9591664,10820593,165.22,56.07,249,2025-11-06
AMD,237.7,141.34,68.18,196.26,-4.94,15.1,65675603,62779275,267.08,76.48,249,2025-11-06
INTC,37.24,24.46,52.23,32.82,0.57,1.64,74867663,112881533,42.48,17.67,249,2025-11-06
APP,621.36,411.36,51.05,599.06,2.08,26.12,8167297,4279599,745.61,200.5,249,2025-11-06
DDOG,190.82,128.41,48.6,148.4,21.15,8.12,21054630,4100781,194.87,81.63,249,2025-11-06
GOOGL,284.75,193.77,46.95,248.32,2.6,15.4,37082404,33287425,291.59,140.23,249,2025-11-06
GOOG,285.34,195.03,46.31,248.9,2.62,15.34,22340138,21276951,291.93,142.36,249,2025-11-06
KLAC,1206.4,851.11,41.74,1056.71,1.08,76.09,1178237,1129751,1284.47,548.81,249,2025-11-06
AVGO,355.59,260.01,36.76,342.72,1.04,14.1,19830488,21644634,386.48,137.54,249,2025-11-06
IDXX,713.74,530.97,34.42,642.47,-1.16,31.87,1091707,547015,735.0,356.14,249,2025-11-06
AMAT,233.53,175.66,32.95,202.49,1.45,6.71,9265503,7216990,242.5,123.04,249,2025-11-06
ASML,1029.2,777.68,32.34,940.54,-0.09,35.76,1067351,1569362,1086.11,574.25,249,2025-11-06
TSLA,445.91,337.52,32.11,417.05,0.37,12.95,104867157,84109067,488.54,214.25,249,2025-11-06
PLTR,175.05,134.28,30.36,176.71,-8.23,9.24,77846830,51513531,207.52,53.55,249,2025-11-06
EA,200.38,156.55,28.0,187.87,-0.2,0.3,1361423,2825046,203.75,114.77,249,2025-11-06
SHOP,156.05,121.96,27.95,154.92,-3.04,9.05,9633038,9024811,182.19,69.84,249,2025-11-06
NVDA,188.08,149.11,26.14,183.0,-5.34,9.67,219135616,187157850,212.19,86.61,249,2025-11-06
ZS,317.92,257.82,23.31,299.11,-3.16,11.12,1197423,1149191,336.99,164.78,249,2025-11-06
MRVL,93.33,76.24,22.41,80.03,6.55,3.24,27593184,16648649,127.15,46.97,249,2025-11-06
CRWD,532.52,439.42,21.19,482.62,-0.26,22.98,2957613,2310465,555.81,298.0,249,2025-11-06
AAPL,269.77,223.65,20.62,250.74,-0.1,9.38,45608876,49430198,277.32,168.8,249,2025-11-06
CEG,351.3,296.99,18.29,348.73,-3.18,15.5,3901587,2943989,412.7,160.94,249,2025-11-06
PDD,136.74,116.11,17.77,130.01,2.17,4.18,4965929,6987001,139.41,87.11,249,2025-11-06
BIIB,156.74,135.4,15.76,145.26,4.96,3.63,1821032,1605171,176.95,110.04,249,2025-11-06
XEL,80.54,70.82,13.72,77.33,-1.29,0.57,5095993,4535424,83.01,61.07,249,2025-11-06
ROST,160.23,141.34,13.37,152.64,-1.23,3.54,1571611,1968010,163.02,121.69,249,2025-11-06
ARM,158.25,139.8,13.2,154.79,-1.54,5.38,6857550,5487127,183.16,80.0,249,2025-11-06
AMZN,243.04,214.8,13.15,226.71,-2.52,12.18,43139744,56857882,258.6,161.38,249,2025-11-06
AZN,83.77,74.11,13.03,81.29,2.12,1.06,6939766,5060288,86.57,60.82,249,2025-11-06
GILD,123.4,109.18,13.03,116.0,0.33,2.33,5405914,6838275,124.61,83.59,249,2025-11-06
AEP,119.53,106.31,12.44,113.41,-0.64,1.94,5502250,3505252,122.85,87.57,249,2025-11-06
BKR,47.29,42.42,11.49,47.14,2.87,1.47,7687981,8433579,50.93,33.21,249,2025-11-06
TTWO,252.4,227.86,10.77,251.44,-0.01,3.46,2411074,1315888,264.79,171.4,249,2025-11-06
QCOM,173.2,156.53,10.65,166.77,0.21,8.5,16158663,13245678,205.95,119.4,249,2025-11-06
CSCO,71.04,64.26,10.54,68.88,-1.77,1.77,15276525,17208576,74.84,51.49,249,2025-11-06
